gen,best,avg,worst
0,3063.495105444731,431.30024919664754,0.0
1,5678.7901370811105,1486.4277665520515,0.0
2,5985.245025016746,2992.190009990175,0.0
3,6190.298416685118,3721.1773402678814,0.0
4,6503.057478520208,4722.361016313607,0.0003030452927674787
5,7130.8819426720975,5113.843829535008,0.06775908430634558
6,7130.8819426720975,5225.681592575653,0.0003030452927674787
5,6503.057478520208,4722.361016313607,0.0003030452927674787
6,6627.219923934199,5277.282809504665,149.21923007538868
7,6812.041876647294,5377.933545910396,465.7487285247744
